"Sliders","Sliders"
"Manage Sliders","Gérer les sliders"
"Manage Slider","Gérer le slider"
"Grid of Sliders","Liste des sliders"
"Add New Slider","Ajouter un slider"
"Add New Slide","Ajouter un slide"
"Add Slide","Ajouter un slide"
"New Slider","Ajouter un slider"
"Edit Slider","Éditer le slider"
"Edit Slide","Éditer le slide"
"Sort by Drag and Drop","Réordonner par glisser-déposer"
"Delete Slide","Supprimer le slide"
"Slider Information","Informations du slider"
"General","Général"
"General Information","Informations générales"
"ID","Identifiant"
"Title","Titre"
"Link","Lien"
"Submit","Valider"
"Cancel","Annuler"
"Are you sure you want to delete this slide?","Etes-vous sûr de vouloir supprimer ce slide?"
"An error occurred","Une erreur est survenue"
"Link","Lien"
"Link Url","Url du Lien"
"Associated Slides","Slides associés"
"Created At","Date de création"
"You can use {{baseSecureUrl}} and {{baseUrl}} if needed.","Vous pouvez utiliser {{baseSecureUrl}} ou {{baseUrl}} si besoin."
"Updated At","Dernière mise à jour"
"Visible In","Visible dans"
"Status","Statut"
"Image","Image"
"Sort","Ordonner"
"Edit","Éditer"
"Delete","Supprimer"
"Enabled","Activé"
"Disabled","Désactivé"
"Disabled","Désactivé"
"Slider: %s - XML Layout Code","Slider: %s - Code XML pour le layout"
"Get the XML Layout Code","Obtenir le code XML pour le layout"
"Close","Fermer"
"The following XML layout code can be used to display this slider on your website.","Le code XML suivant vous permettra d'afficher ce slider sur votre site Web."
"Copy it into either a layout XML file or a <em>Layout Update XML</em> field in the Magento Admin area. You may need to change the reference name to display the slider on a specific frontend area.","Copiez le soit dans un fichier XML de layout ou dans un champs <em>Layout Update XML</em> dans l'interface d'adminitration Magento. Changez le nom de la référence afin de placer le slider dans une zone spécifique."
"Slider successfully saved.","Slider sauvegardé avec succès."
"Slider successfully deleted.","Slider supprimé avec succès."
"Add Slide","Ajouter un slide"
"Add Slide","Ajouter un slide"
"Slide not found.","Slide non trouvé."
"Slider not found.","Slider non trouvé."
"Slide successfully deleted.","Slide supprimé avec succès."
"Slide successfully saved.","Slide sauvegardé avec succès."
"Total of %d record(s) have been deleted.","Un total de %d enregistrements ont été supprimés."
"Total of %d record(s) have been updated.","Un total de %d enregistrements ont été mis à jour."
"An error occurred while deleting slider(s).","Une erreur est survenue."
"Please select slider(s).","Merci de selectionner au moins un slider."
"Select a slider","Choix du slider"
"Default Slider Template","Template de slider par défaut"
